ingredient,initial_amount
queijo mussarela,300
tomate,300
farinha,350
farinha de trigo,100
sal,300
cravo,200
água,500
orégano,250
molho shoyu,200
batata,450
fermento,200
bacon,300
manteiga,300
caldo de carne,150
manjericão,300
camarão,200
carne,250
creme de leite,250
frango,300
ovo,250
azeite,200
vinagre,100
queijo gorgonzola,200
salmão,200
alface,200
soja,400
queijo parmesão,150
queijo provolone,250
tofu,300
pepino,200
açúcar,200
limão,250
alho,200
vinho madeira,150
massa de lasanha,200
arroz,300
molho de tomate,300
cebola,200
massa de ravioli,300
presunto,50
berinjela,20
